2025-07-23 17:55:55 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-23 17:55:55 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-23 18:10:23 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-23 18:10:23 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-23 18:10:24 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-23 18:10:24 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-23 18:10:24 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-23 18:10:24 | INFO | __main__:run:136 | Starting bot polling...
2025-07-23 18:11:25 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-23 18:11:25 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-23 18:14:54 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-23 18:14:54 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-23 18:14:54 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-23 18:14:54 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-23 18:14:55 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-23 18:14:55 | INFO | __main__:run:136 | Starting bot polling...
2025-07-23 18:16:31 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-23 18:16:31 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-23 18:16:36 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-23 18:16:36 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-23 18:16:36 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-23 18:16:36 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-23 18:16:37 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-23 18:16:37 | INFO | __main__:run:136 | Starting bot polling...
2025-07-23 18:18:06 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-23 18:18:06 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-23 18:18:11 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-23 18:18:11 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-23 18:18:12 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-23 18:18:12 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-23 18:18:12 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-23 18:18:12 | INFO | __main__:run:136 | Starting bot polling...
2025-07-23 18:20:49 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-23 18:20:49 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
2025-07-23 21:09:47 | INFO | __main__:_setup_logging:46 | Logging configured with level: DEBUG
2025-07-23 21:09:47 | INFO | __main__:_setup_bot_and_dispatcher:65 | Setting up bot and dispatcher...
2025-07-23 21:09:48 | INFO | __main__:_on_startup:98 | 🚀 TelegramBot started successfully!
2025-07-23 21:09:48 | INFO | __main__:_on_startup:99 | Bot description: Telegram Bot
2025-07-23 21:09:48 | INFO | __main__:_on_startup:106 | Bot commands set successfully
2025-07-23 21:09:48 | INFO | __main__:run:136 | Starting bot polling...
2025-07-23 21:10:08 | INFO | __main__:_on_shutdown:111 | 🛑 Shutting down bot...
2025-07-23 21:10:08 | INFO | __main__:_on_shutdown:114 | Bot shutdown completed
